date_mutation,commune,code_postal,zone_toulon,numero_voie,type_voie,voie,adresse_complete,type_local,nombre_pieces,surface_reelle_bati,valeur_fonciere,prix_m2
25/01/2023,TOULON,83000,Centre / Littoral,7,RUE,DE LORGUES,7 RUE DE LORGUES,Appartement,3.0,51.0,115000.0,2254.9
26/01/2023,TOULON,83100,Est Toulon,4,RUE,DU BOURGET,4 RUE DU BOURGET,Appartement,4.0,53.0,120000.0,2264.15
20/01/2023,TOULON,83200,Ouest Toulon,4,RUE,MARCEL SEMBAT,4 RUE MARCEL SEMBAT,Appartement,2.0,45.0,80000.0,1777.78
24/01/2023,TOULON,83000,Centre / Littoral,11,BD,CASTEL LAUTIER,11 BD CASTEL LAUTIER,Appartement,2.0,47.0,173100.0,3682.98
17/01/2023,TOULON,83100,Est Toulon,152,AV,COLONEL PICOT,152 AV COLONEL PICOT,Appartement,2.0,41.0,78000.0,1902.44
26/01/2023,TOULON,83200,Ouest Toulon,20,CHE,DES IRIS,20 CHE DES IRIS,Maison,4.0,93.0,530000.0,5698.92
17/01/2023,TOULON,83000,Centre / Littoral,20,RUE,DOCTEUR CAMILLE AUBAN,20 RUE DOCTEUR CAMILLE AUBAN,Appartement,1.0,27.0,80000.0,2962.96
30/01/2023,TOULON,83000,Centre / Littoral,295,AV,AMIRAL COLLET,295 AV AMIRAL COLLET,Appartement,3.0,55.0,119000.0,2163.64
27/01/2023,TOULON,83200,Ouest Toulon,225,TRA,DE LA BEAUCAIRE,225 TRA DE LA BEAUCAIRE,Maison,7.0,105.0,319000.0,3038.1
17/01/2023,TOULON,83000,Centre / Littoral,75,AV,DUSSAP,75 AV DUSSAP,Appartement,5.0,82.0,185000.0,2256.1
23/01/2023,TOULON,83000,Centre / Littoral,2,RUE,VINCENT ALLEGRE,2 RUE VINCENT ALLEGRE,Appartement,3.0,87.0,180000.0,2068.97
27/01/2023,TOULON,83200,Ouest Toulon,2,RUE,DIDEROT,2 RUE DIDEROT,Maison,4.0,75.0,100000.0,1333.33
23/01/2023,TOULON,83000,Centre / Littoral,245,AV,FRANCOIS CUZIN,245 AV FRANCOIS CUZIN,Appartement,3.0,53.0,230000.0,4339.62
