date_mutation,commune,code_postal,zone_toulon,numero_voie,type_voie,voie,adresse_complete,type_local,nombre_pieces,surface_reelle_bati,valeur_fonciere,prix_m2
11/10/2023,TOULON,83000,Centre / Littoral,3,PL,CAUVIERE,3 PL CAUVIERE,Appartement,2.0,25.0,113400.0,4536.0
11/10/2023,TOULON,83000,Centre / Littoral,9,RUE,ANATOLE FRANCE,9 RUE ANATOLE FRANCE,Appartement,2.0,26.0,90000.0,3461.54
11/10/2023,TOULON,83000,Centre / Littoral,9,RUE,ANATOLE FRANCE,9 RUE ANATOLE FRANCE,Appartement,1.0,21.0,90000.0,4285.71
17/10/2023,TOULON,83200,Ouest Toulon,139,AV,DE VALBOURDIN,139 AV DE VALBOURDIN,Appartement,3.0,48.0,130910.0,2727.29
10/10/2023,TOULON,83100,Est Toulon,11,RUE,SEBASTIEN CARLE,11 RUE SEBASTIEN CARLE,Appartement,3.0,56.0,95000.0,1696.43
18/09/2023,TOULON,83000,Centre / Littoral,12,RUE,THOULON,12 RUE THOULON,Appartement,3.0,57.0,128650.0,2257.02
18/09/2023,TOULON,83000,Centre / Littoral,12,RUE,THOULON,12 RUE THOULON,Appartement,2.0,46.0,128650.0,2796.74
29/09/2023,TOULON,83200,Ouest Toulon,104,RUE,MADEMOISELLE STRASSEL,104 RUE MADEMOISELLE STRASSEL,Appartement,4.0,76.0,197000.0,2592.11
03/10/2023,TOULON,83000,Centre / Littoral,162,AV,FRANCOIS CUZIN,162 AV FRANCOIS CUZIN,Appartement,2.0,41.0,80000.0,1951.22
16/10/2023,TOULON,83000,Centre / Littoral,48,CRS,LAFAYETTE,48 CRS LAFAYETTE,Appartement,4.0,42.0,124000.0,2952.38
17/10/2023,TOULON,83200,Ouest Toulon,88,RUE,CHEVALIER P CASSINE,88 RUE CHEVALIER P CASSINE,Appartement,3.0,52.0,92000.0,1769.23
10/10/2023,TOULON,83200,Ouest Toulon,30,RUE,THIERS,30 RUE THIERS,Appartement,4.0,75.0,184050.0,2454.0
16/10/2023,TOULON,83200,Ouest Toulon,360,BD,GENERAL BROSSET,360 BD GENERAL BROSSET,Appartement,2.0,44.0,68000.0,1545.45
29/09/2023,TOULON,83000,Centre / Littoral,2,CHE,DE LA SERINETTE,2 CHE DE LA SERINETTE,Appartement,1.0,31.0,135000.0,4354.84
02/10/2023,TOULON,83200,Ouest Toulon,179,AV,DES MOULINS,179 AV DES MOULINS,Appartement,4.0,77.0,204500.0,2655.84
06/09/2023,TOULON,83200,Ouest Toulon,555,AV,ARISTIDE BRIAND,555 AV ARISTIDE BRIAND,Appartement,4.0,81.0,130000.0,1604.94
09/10/2023,TOULON,83200,Ouest Toulon,328,CHE,DE LA PAVEIGNE,328 CHE DE LA PAVEIGNE,Maison,4.0,102.0,515000.0,5049.02
12/10/2023,TOULON,83200,Ouest Toulon,65,AV,DU 1ER BATAILLON CHOC,65 AV DU 1ER BATAILLON CHOC,Appartement,3.0,47.0,325000.0,6914.89
12/10/2023,TOULON,83200,Ouest Toulon,65,AV,DU 1ER BATAILLON CHOC,65 AV DU 1ER BATAILLON CHOC,Appartement,3.0,47.0,325000.0,6914.89
12/10/2023,TOULON,83200,Ouest Toulon,65,AV,DU 1ER BATAILLON CHOC,65 AV DU 1ER BATAILLON CHOC,Appartement,1.0,27.0,325000.0,12037.04
12/10/2023,TOULON,83200,Ouest Toulon,65,AV,DU 1ER BATAILLON CHOC,65 AV DU 1ER BATAILLON CHOC,Appartement,2.0,45.0,325000.0,7222.22
12/10/2023,TOULON,83200,Ouest Toulon,65,AV,DU 1ER BATAILLON CHOC,65 AV DU 1ER BATAILLON CHOC,Appartement,1.0,24.0,325000.0,13541.67
15/09/2023,TOULON,83000,Centre / Littoral,201,AV,DE LA RESISTANCE,201 AV DE LA RESISTANCE,Appartement,6.0,92.0,228250.0,2480.98
29/09/2023,TOULON,83200,Ouest Toulon,115,RUE,EDOUARD HERRIOT,115 RUE EDOUARD HERRIOT,Appartement,5.0,82.0,135000.0,1646.34
03/10/2023,TOULON,83000,Centre / Littoral,127,AV,DU PORT DE PLAISANCE,127 AV DU PORT DE PLAISANCE,Appartement,3.0,70.0,249000.0,3557.14
16/10/2023,TOULON,83200,Ouest Toulon,191,BD,BARTHELEMY,191 BD BARTHELEMY,Appartement,3.0,65.0,165000.0,2538.46
06/10/2023,TOULON,83000,Centre / Littoral,36,RUE,PAUL ARENE,36 RUE PAUL ARENE,Appartement,2.0,32.0,95000.0,2968.75
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,40.0,1400000.0,35000.0
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,46.0,1400000.0,30434.78
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,1.0,34.0,1400000.0,41176.47
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,30.0,1400000.0,46666.67
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,1.0,30.0,1400000.0,46666.67
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,46.0,1400000.0,30434.78
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,1.0,34.0,1400000.0,41176.47
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,30.0,1400000.0,46666.67
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,40.0,1400000.0,35000.0
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,46.0,1400000.0,30434.78
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,2.0,30.0,1400000.0,46666.67
20/09/2023,TOULON,83000,Centre / Littoral,14,RUE,LAMALGUE,14 RUE LAMALGUE,Appartement,1.0,34.0,1400000.0,41176.47
22/09/2023,TOULON,83000,Centre / Littoral,4,RUE,DE LA GLACIERE,4 RUE DE LA GLACIERE,Appartement,2.0,48.0,251000.0,5229.17
09/10/2023,TOULON,83000,Centre / Littoral,11,RUE,VICTOR GENSOLLEN,11 RUE VICTOR GENSOLLEN,Appartement,3.0,57.0,425000.0,7456.14
05/10/2023,TOULON,83000,Centre / Littoral,246,RUE,AMIRAL NOMY,246 RUE AMIRAL NOMY,Appartement,3.0,54.0,90000.0,1666.67
28/09/2023,TOULON,83000,Centre / Littoral,105,BD,TOUCAS,105 BD TOUCAS,Appartement,1.0,25.0,96000.0,3840.0
16/10/2023,TOULON,83200,Ouest Toulon,75,AV,CLOVIS HUGUES,75 AV CLOVIS HUGUES,Appartement,2.0,47.0,148000.0,3148.94
10/10/2023,TOULON,83200,Ouest Toulon,267,QUAI,MARMORA,267 QUAI MARMORA,Appartement,3.0,54.0,155000.0,2870.37
22/09/2023,TOULON,83200,Ouest Toulon,134,RUE,LACORDAIRE,134 RUE LACORDAIRE,Appartement,2.0,30.0,79000.0,2633.33
22/09/2023,TOULON,83200,Ouest Toulon,134,RUE,LACORDAIRE,134 RUE LACORDAIRE,Appartement,3.0,35.0,79000.0,2257.14
05/10/2023,TOULON,83000,Centre / Littoral,27,RUE,CASTEL,27 RUE CASTEL,Appartement,1.0,34.0,140000.0,4117.65
18/09/2023,TOULON,83100,Est Toulon,1,RUE,DIEGO SUAREZ,1 RUE DIEGO SUAREZ,Appartement,2.0,46.0,122000.0,2652.17
10/10/2023,TOULON,83200,Ouest Toulon,34,RUE,JANVIER,34 RUE JANVIER,Appartement,3.0,45.0,85000.0,1888.89
09/10/2023,TOULON,83200,Ouest Toulon,202,RUE,DANIELLE CASANOVA,202 RUE DANIELLE CASANOVA,Maison,5.0,46.0,330000.0,7173.91
09/10/2023,TOULON,83200,Ouest Toulon,346,RUE,FELIX MAYOL,346 RUE FELIX MAYOL,Appartement,3.0,69.0,177000.0,2565.22
05/10/2023,TOULON,83100,Est Toulon,201,AV,JOSEPH GASQUET,201 AV JOSEPH GASQUET,Appartement,2.0,51.0,336000.0,6588.24
05/10/2023,TOULON,83100,Est Toulon,201,AV,JOSEPH GASQUET,201 AV JOSEPH GASQUET,Appartement,2.0,42.0,336000.0,8000.0
05/10/2023,TOULON,83100,Est Toulon,201,AV,JOSEPH GASQUET,201 AV JOSEPH GASQUET,Appartement,2.0,64.0,336000.0,5250.0
05/10/2023,TOULON,83100,Est Toulon,201,AV,JOSEPH GASQUET,201 AV JOSEPH GASQUET,Appartement,1.0,30.0,336000.0,11200.0
10/10/2023,TOULON,83000,Centre / Littoral,9001,IMP,CANONICA,9001 IMP CANONICA,Appartement,4.0,80.0,240000.0,3000.0
11/10/2023,TOULON,83000,Centre / Littoral,307,AV,DU PORT DE PLAISANCE,307 AV DU PORT DE PLAISANCE,Appartement,3.0,63.0,250000.0,3968.25
03/10/2023,TOULON,83000,Centre / Littoral,65,AV,FRANKLIN ROOSEVELT,65 AV FRANKLIN ROOSEVELT,Appartement,4.0,89.0,246700.0,2771.91
05/10/2023,TOULON,83000,Centre / Littoral,46,RUE,REVEREND PERE DE FOUCAULD,46 RUE REVEREND PERE DE FOUCAULD,Appartement,3.0,61.0,142000.0,2327.87
02/10/2023,TOULON,83000,Centre / Littoral,26,RUE,TOURVILLE,26 RUE TOURVILLE,Maison,4.0,125.0,430000.0,3440.0
29/09/2023,TOULON,83200,Ouest Toulon,142,RUE,AUGUSTIN GUEYMARD,142 RUE AUGUSTIN GUEYMARD,Maison,1.0,60.0,320000.0,5333.33
13/10/2023,TOULON,83000,Centre / Littoral,2,PL,HUBAC,2 PL HUBAC,Appartement,1.0,26.0,79000.0,3038.46
29/09/2023,TOULON,83000,Centre / Littoral,178,AV,PHILIPPE LEBON,178 AV PHILIPPE LEBON,Appartement,1.0,18.0,31500.0,1750.0
16/10/2023,TOULON,83200,Ouest Toulon,46,BD,BARTHELEMY,46 BD BARTHELEMY,Appartement,3.0,55.0,117000.0,2127.27
29/09/2023,TOULON,83100,Est Toulon,409,AV,DE L ELISA,409 AV DE L ELISA,Maison,4.0,104.0,585000.0,5625.0
29/09/2023,TOULON,83100,Est Toulon,409,AV,DE L ELISA,409 AV DE L ELISA,Maison,3.0,78.0,585000.0,7500.0
29/09/2023,TOULON,83000,Centre / Littoral,60,BD,EDOUARD AIGUIER,60 BD EDOUARD AIGUIER,Appartement,5.0,81.0,263340.0,3251.11
29/09/2023,TOULON,83200,Ouest Toulon,54,PL,BENJAMIN RIMBAUD,54 PL BENJAMIN RIMBAUD,Appartement,2.0,32.0,95950.0,2998.44
16/10/2023,TOULON,83000,Centre / Littoral,2,RUE,PAULIN GUERIN,2 RUE PAULIN GUERIN,Appartement,4.0,60.0,250000.0,4166.67
06/10/2023,TOULON,83100,Est Toulon,65,RUE,FRANKLIN,65 RUE FRANKLIN,Appartement,3.0,62.0,164000.0,2645.16
13/10/2023,TOULON,83200,Ouest Toulon,9020,BD,AMIRAL DE GRASSE,9020 BD AMIRAL DE GRASSE,Appartement,4.0,130.0,300000.0,2307.69
17/10/2023,TOULON,83000,Centre / Littoral,17,BD,ROBESPIERRE,17 BD ROBESPIERRE,Appartement,1.0,21.0,67000.0,3190.48
16/10/2023,TOULON,83000,Centre / Littoral,80,RUE,JOSEPHINE,80 RUE JOSEPHINE,Appartement,2.0,20.0,155590.0,7779.5
16/10/2023,TOULON,83200,Ouest Toulon,9001,,LE CHAMBORD,9001  LE CHAMBORD,Appartement,4.0,60.0,134000.0,2233.33
25/09/2023,TOULON,83200,Ouest Toulon,22,AV,CLOVIS HUGUES,22 AV CLOVIS HUGUES,Appartement,2.0,52.0,84500.0,1625.0
13/10/2023,TOULON,83000,Centre / Littoral,3,IMP,SAINT PAUL,3 IMP SAINT PAUL,Appartement,2.0,40.0,158000.0,3950.0
18/10/2023,TOULON,83200,Ouest Toulon,5001,RUE,DEJUSSIEU PONTCARRAL,5001 RUE DEJUSSIEU PONTCARRAL,Appartement,3.0,63.0,30000.0,476.19
05/10/2023,TOULON,83000,Centre / Littoral,130,RUE,AMABLE MABILY,130 RUE AMABLE MABILY,Appartement,5.0,82.0,235240.0,2868.78
29/09/2023,TOULON,83100,Est Toulon,4,RUE,LIEUTENANT LEANDRI,4 RUE LIEUTENANT LEANDRI,Appartement,1.0,48.0,120000.0,2500.0
03/10/2023,TOULON,83200,Ouest Toulon,75,AV,LEON JOUHAUX,75 AV LEON JOUHAUX,Appartement,4.0,67.0,122000.0,1820.9
16/10/2023,TOULON,83100,Est Toulon,9101,IMP,BAILLE,9101 IMP BAILLE,Maison,4.0,105.0,420000.0,4000.0
03/10/2023,TOULON,83000,Centre / Littoral,451,BD,SAINTE ANNE,451 BD SAINTE ANNE,Appartement,3.0,69.0,213330.0,3091.74
16/10/2023,TOULON,83200,Ouest Toulon,563,AV,DES FILS MARESCOT,563 AV DES FILS MARESCOT,Appartement,3.0,58.0,340000.0,5862.07
16/10/2023,TOULON,83200,Ouest Toulon,563,AV,DES FILS MARESCOT,563 AV DES FILS MARESCOT,Appartement,3.0,57.0,340000.0,5964.91
19/10/2023,TOULON,83000,Centre / Littoral,1,PL,PAVE D AMOUR,1 PL PAVE D AMOUR,Appartement,2.0,31.0,91000.0,2935.48
13/10/2023,TOULON,83200,Ouest Toulon,88,RUE,CHEVALIER P CASSINE,88 RUE CHEVALIER P CASSINE,Appartement,3.0,52.0,89000.0,1711.54
29/09/2023,TOULON,83000,Centre / Littoral,158,AV,EMILE VINCENT,158 AV EMILE VINCENT,Appartement,3.0,67.0,145500.0,2171.64
20/10/2023,TOULON,83000,Centre / Littoral,20,RUE,MIRABEAU,20 RUE MIRABEAU,Appartement,2.0,48.0,157450.0,3280.21
23/09/2023,TOULON,83200,Ouest Toulon,8,RUE,MAGENTA,8 RUE MAGENTA,Maison,5.0,159.0,503961.0,3169.57
20/10/2023,TOULON,83100,Est Toulon,27,CHE,ASPIRANT BOURGAREL,27 CHE ASPIRANT BOURGAREL,Appartement,2.0,39.0,224755.0,5762.95
20/10/2023,TOULON,83000,Centre / Littoral,949,AV,FRANCOIS NARDI,949 AV FRANCOIS NARDI,Appartement,4.0,68.0,180000.0,2647.06
06/10/2023,TOULON,83000,Centre / Littoral,9006,CHE,DE LA RIVIERE,9006 CHE DE LA RIVIERE,Maison,4.0,90.0,510000.0,5666.67
26/09/2023,TOULON,83000,Centre / Littoral,42,RUE,PAUL LENDRIN,42 RUE PAUL LENDRIN,Appartement,2.0,58.0,120000.0,2068.97
18/10/2023,TOULON,83000,Centre / Littoral,174,AV,MARCEL CASTIE,174 AV MARCEL CASTIE,Appartement,1.0,31.0,90000.0,2903.23
06/10/2023,TOULON,83200,Ouest Toulon,163,AV,GENERAL GOURAUD,163 AV GENERAL GOURAUD,Appartement,1.0,20.0,64000.0,3200.0
17/10/2023,TOULON,83000,Centre / Littoral,1047,AV,DE LA RESISTANCE,1047 AV DE LA RESISTANCE,Appartement,2.0,48.0,102500.0,2135.42
04/10/2023,TOULON,83000,Centre / Littoral,4,PL,NOEL BLACHE,4 PL NOEL BLACHE,Appartement,2.0,40.0,95000.0,2375.0
27/09/2023,TOULON,83000,Centre / Littoral,9,RUE,D ASTOUR,9 RUE D ASTOUR,Appartement,1.0,22.0,86000.0,3909.09
06/10/2023,TOULON,83000,Centre / Littoral,295,BD,BAZEILLES,295 BD BAZEILLES,Appartement,2.0,34.0,100000.0,2941.18
19/09/2023,TOULON,83000,Centre / Littoral,206,RUE,HENRI VIENNE,206 RUE HENRI VIENNE,Appartement,3.0,68.0,178000.0,2617.65
25/10/2023,TOULON,83100,Est Toulon,61,RUE,DE SUEZ,61 RUE DE SUEZ,Appartement,3.0,55.0,112000.0,2036.36
20/10/2023,TOULON,83200,Ouest Toulon,798,BD,LOUIS PICON,798 BD LOUIS PICON,Appartement,2.0,38.0,70000.0,1842.11
20/10/2023,TOULON,83200,Ouest Toulon,798,BD,LOUIS PICON,798 BD LOUIS PICON,Appartement,2.0,42.0,70000.0,1666.67
19/10/2023,TOULON,83200,Ouest Toulon,9001,,LES MONIQUES,9001  LES MONIQUES,Appartement,4.0,69.0,176000.0,2550.72
23/10/2023,TOULON,83100,Est Toulon,641,RUE,HENRI STE CLAIRE DEVILLE,641 RUE HENRI STE CLAIRE DEVILLE,Appartement,3.0,68.0,150000.0,2205.88
05/10/2023,TOULON,83000,Centre / Littoral,30,RUE,DE POMET,30 RUE DE POMET,Appartement,2.0,42.0,103900.0,2473.81
23/10/2023,TOULON,83000,Centre / Littoral,422,AV,DU MARECHAL FOCH,422 AV DU MARECHAL FOCH,Appartement,4.0,74.0,139000.0,1878.38
23/10/2023,TOULON,83000,Centre / Littoral,43,RUE,VINCENT SCOTTO,43 RUE VINCENT SCOTTO,Appartement,4.0,88.0,173000.0,1965.91
13/10/2023,TOULON,83200,Ouest Toulon,450,CD,46,450 CD 46,Maison,5.0,126.0,530000.0,4206.35
17/10/2023,TOULON,83100,Est Toulon,9010,BD,DU 11 NOVEMBRE 1918,9010 BD DU 11 NOVEMBRE 1918,Appartement,3.0,60.0,226370.0,3772.83
03/10/2023,TOULON,83000,Centre / Littoral,2,RUE,DELPECH,2 RUE DELPECH,Appartement,3.0,68.0,157000.0,2308.82
17/10/2023,TOULON,83200,Ouest Toulon,189,AV,DOCTEUR FONTAN,189 AV DOCTEUR FONTAN,Maison,4.0,78.0,271200.0,3476.92
17/10/2023,TOULON,83000,Centre / Littoral,22,RUE,MIRABEAU,22 RUE MIRABEAU,Appartement,3.0,62.0,207000.0,3338.71
17/10/2023,TOULON,83000,Centre / Littoral,4,AV,COLBERT,4 AV COLBERT,Appartement,3.0,90.0,315000.0,3500.0
16/10/2023,TOULON,83200,Ouest Toulon,38,RUE,ROUGET DE LISLE,38 RUE ROUGET DE LISLE,Appartement,3.0,49.0,113550.0,2317.35
19/10/2023,TOULON,83000,Centre / Littoral,120,AV,AMIRAL COLLET,120 AV AMIRAL COLLET,Appartement,3.0,61.0,166389.0,2727.69
16/10/2023,TOULON,83200,Ouest Toulon,71,RUE,CITE DROUET,71 RUE CITE DROUET,Maison,4.0,90.0,690000.0,7666.67
16/10/2023,TOULON,83200,Ouest Toulon,71,RUE,CITE DROUET,71 RUE CITE DROUET,Maison,4.0,90.0,690000.0,7666.67
13/10/2023,TOULON,83000,Centre / Littoral,75,AV,DE LA VICTOIRE DU 8 5 1945,75 AV DE LA VICTOIRE DU 8 5 1945,Appartement,3.0,72.0,189030.0,2625.42
13/10/2023,TOULON,83100,Est Toulon,116,AV,BENOIT MALON,116 AV BENOIT MALON,Appartement,4.0,93.0,147000.0,1580.65
11/10/2023,TOULON,83200,Ouest Toulon,122,RUE,HONORE POURCHIER,122 RUE HONORE POURCHIER,Maison,5.0,90.0,360000.0,4000.0
20/10/2023,TOULON,83000,Centre / Littoral,73,RUE,LIEUTENANT JOSEPH ANDRE,73 RUE LIEUTENANT JOSEPH ANDRE,Appartement,2.0,52.0,120400.0,2315.38
06/10/2023,TOULON,83000,Centre / Littoral,32,RUE,VICTOR THOURON,32 RUE VICTOR THOURON,Appartement,3.0,67.0,487900.0,7282.09
10/10/2023,TOULON,83200,Ouest Toulon,177,RUE,DAVID,177 RUE DAVID,Appartement,4.0,89.0,203600.0,2287.64
23/10/2023,TOULON,83200,Ouest Toulon,267,QUAI,MARMORA,267 QUAI MARMORA,Appartement,3.0,57.0,140000.0,2456.14
19/10/2023,TOULON,83000,Centre / Littoral,295,BD,BAZEILLES,295 BD BAZEILLES,Appartement,2.0,34.0,105000.0,3088.24
13/10/2023,TOULON,83100,Est Toulon,96,AV,FORBIN,96 AV FORBIN,Appartement,5.0,94.0,179910.0,1913.94
24/10/2023,TOULON,83100,Est Toulon,26,RUE,MANSARD,26 RUE MANSARD,Appartement,4.0,92.0,349500.0,3798.91
24/10/2023,TOULON,83100,Est Toulon,26,RUE,MANSARD,26 RUE MANSARD,Appartement,3.0,78.0,349500.0,4480.77
30/10/2023,TOULON,83000,Centre / Littoral,248,AV,DES LICES,248 AV DES LICES,Appartement,4.0,61.0,154010.0,2524.75
17/10/2023,TOULON,83000,Centre / Littoral,9001,,LA TOUR D'IVOIRE,9001  LA TOUR D'IVOIRE,Appartement,3.0,71.0,155000.0,2183.1
19/10/2023,TOULON,83200,Ouest Toulon,178,RUE,DU LT ANDRE FOURNIER,178 RUE DU LT ANDRE FOURNIER,Appartement,2.0,55.0,90000.0,1636.36
02/10/2023,TOULON,83000,Centre / Littoral,5,RUE,PICOT,5 RUE PICOT,Appartement,3.0,80.0,275000.0,3437.5
23/10/2023,TOULON,83200,Ouest Toulon,224,AV,DOCTEUR FONTAN,224 AV DOCTEUR FONTAN,Appartement,3.0,51.0,125000.0,2450.98
20/10/2023,TOULON,83200,Ouest Toulon,48,RUE,DES CORNOUAILLES,48 RUE DES CORNOUAILLES,Maison,4.0,99.0,477900.0,4827.27
12/10/2023,TOULON,83100,Est Toulon,151,RUE,ALEXANDRE VOLTA,151 RUE ALEXANDRE VOLTA,Maison,6.0,160.0,255000.0,1593.75
12/10/2023,TOULON,83100,Est Toulon,151,RUE,ALEXANDRE VOLTA,151 RUE ALEXANDRE VOLTA,Maison,6.0,160.0,275000.0,1718.75
26/10/2023,TOULON,83100,Est Toulon,282,BD,LEON BOURGEOIS,282 BD LEON BOURGEOIS,Appartement,3.0,64.0,125850.0,1966.41
27/10/2023,TOULON,83200,Ouest Toulon,721,CHE,DE FORGENTIER,721 CHE DE FORGENTIER,Appartement,2.0,50.0,154000.0,3080.0
26/10/2023,TOULON,83000,Centre / Littoral,50,RUE,GIMELLI,50 RUE GIMELLI,Appartement,3.0,66.0,135000.0,2045.45
06/10/2023,TOULON,83000,Centre / Littoral,9002,BD,JEAN NOBLE,9002 BD JEAN NOBLE,Appartement,4.0,98.0,325000.0,3316.33
03/10/2023,TOULON,83100,Est Toulon,202,BD,MARECHAL JOFFRE,202 BD MARECHAL JOFFRE,Appartement,2.0,49.0,89000.0,1816.33
06/10/2023,TOULON,83000,Centre / Littoral,255,BD,BAZEILLES,255 BD BAZEILLES,Appartement,2.0,44.0,146750.0,3335.23
27/10/2023,TOULON,83200,Ouest Toulon,16,CHE,DU PONT DE BOIS,16 CHE DU PONT DE BOIS,Maison,6.0,140.0,550000.0,3928.57
03/10/2023,TOULON,83200,Ouest Toulon,194,AV,DU 15E CORPS,194 AV DU 15E CORPS,Appartement,2.0,38.0,65000.0,1710.53
27/10/2023,TOULON,83000,Centre / Littoral,195,RUE,MUIRON,195 RUE MUIRON,Appartement,3.0,57.0,200000.0,3508.77
11/10/2023,TOULON,83000,Centre / Littoral,7,PL,DE LA LIBERTE,7 PL DE LA LIBERTE,Appartement,5.0,138.0,590000.0,4275.36
24/10/2023,TOULON,83000,Centre / Littoral,73,ALL,DU DOCTEUR LAURES,73 ALL DU DOCTEUR LAURES,Appartement,4.0,68.0,135000.0,1985.29
18/10/2023,TOULON,83200,Ouest Toulon,156,RUE,OCTAVE TEISSIER,156 RUE OCTAVE TEISSIER,Appartement,4.0,59.0,150000.0,2542.37
18/10/2023,TOULON,83200,Ouest Toulon,124,RUE,DOCTEUR PERRIMOND,124 RUE DOCTEUR PERRIMOND,Appartement,2.0,42.0,80000.0,1904.76
26/10/2023,TOULON,83000,Centre / Littoral,202,RUE,ERNEST RENAN,202 RUE ERNEST RENAN,Appartement,2.0,52.0,188000.0,3615.38
06/11/2023,TOULON,83000,Centre / Littoral,949,AV,FRANCOIS NARDI,949 AV FRANCOIS NARDI,Appartement,2.0,41.0,150000.0,3658.54
09/10/2023,TOULON,83000,Centre / Littoral,6,PL,AMIRAL SENES,6 PL AMIRAL SENES,Appartement,1.0,11.0,27000.0,2454.55
27/10/2023,TOULON,83000,Centre / Littoral,627,BD,JEAN BAPTISTE ABEL,627 BD JEAN BAPTISTE ABEL,Appartement,3.0,66.0,270000.0,4090.91
20/10/2023,TOULON,83000,Centre / Littoral,9001,,LE MEDICIS,9001  LE MEDICIS,Appartement,2.0,52.0,250900.0,4825.0
19/10/2023,TOULON,83000,Centre / Littoral,301,CHE,DE LA CALADE,301 CHE DE LA CALADE,Appartement,5.0,82.0,299500.0,3652.44
20/10/2023,TOULON,83200,Ouest Toulon,129,RUE,MOREAU,129 RUE MOREAU,Appartement,3.0,56.0,145000.0,2589.29
30/10/2023,TOULON,83000,Centre / Littoral,9001,,PALAIS SOLEIL,9001  PALAIS SOLEIL,Appartement,1.0,40.0,67500.0,1687.5
31/10/2023,TOULON,83200,Ouest Toulon,305,AV,AUGUSTE BATTAREL,305 AV AUGUSTE BATTAREL,Maison,3.0,69.0,321000.0,4652.17
26/10/2023,TOULON,83200,Ouest Toulon,9001,,LES MONIQUES,9001  LES MONIQUES,Appartement,4.0,68.0,82800.0,1217.65
27/10/2023,TOULON,83200,Ouest Toulon,138,AV,GENERAL GOURAUD,138 AV GENERAL GOURAUD,Appartement,5.0,76.0,153700.0,2022.37
26/10/2023,TOULON,83000,Centre / Littoral,399,COR,LITTORAL FREDERIC MISTRAL,399 COR LITTORAL FREDERIC MISTRAL,Appartement,4.0,91.0,720000.0,7912.09
31/10/2023,TOULON,83000,Centre / Littoral,60,BD,EDOUARD AIGUIER,60 BD EDOUARD AIGUIER,Appartement,4.0,63.0,254000.0,4031.75
17/10/2023,TOULON,83000,Centre / Littoral,21,BD,DE STRASBOURG,21 BD DE STRASBOURG,Appartement,6.0,177.0,418000.0,2361.58
19/10/2023,TOULON,83200,Ouest Toulon,441,BD,FOURNIOL,441 BD FOURNIOL,Appartement,3.0,61.0,328000.0,5377.05
26/10/2023,TOULON,83200,Ouest Toulon,311,CHE,DE RIGOUMEL,311 CHE DE RIGOUMEL,Maison,5.0,73.0,347000.0,4753.42
31/10/2023,TOULON,83100,Est Toulon,571,AV,JOSEPH GASQUET,571 AV JOSEPH GASQUET,Maison,6.0,130.0,435000.0,3346.15
12/10/2023,TOULON,83200,Ouest Toulon,87,AV,ANDRE LE CHATELIER,87 AV ANDRE LE CHATELIER,Appartement,3.0,56.0,115000.0,2053.57
19/10/2023,TOULON,83100,Est Toulon,140,RUE,DE TURENNE,140 RUE DE TURENNE,Appartement,3.0,49.0,108000.0,2204.08
27/10/2023,TOULON,83100,Est Toulon,224,AV,AMIRAL DAVELUY,224 AV AMIRAL DAVELUY,Appartement,5.0,72.0,140500.0,1951.39
20/10/2023,TOULON,83000,Centre / Littoral,502,CHE,DE LA CALADE,502 CHE DE LA CALADE,Appartement,4.0,92.0,380000.0,4130.43
24/10/2023,TOULON,83000,Centre / Littoral,21,RUE,GIMELLI,21 RUE GIMELLI,Appartement,2.0,54.0,100000.0,1851.85
27/10/2023,TOULON,83100,Est Toulon,9017,RUE,CASABIANCA,9017 RUE CASABIANCA,Maison,3.0,64.0,425000.0,6640.62
23/10/2023,TOULON,83000,Centre / Littoral,150,RUE,EMILE OLLIVIER,150 RUE EMILE OLLIVIER,Appartement,2.0,49.0,125000.0,2551.02
17/10/2023,TOULON,83000,Centre / Littoral,100,AV,MARCEL CASTIE,100 AV MARCEL CASTIE,Appartement,1.0,26.0,87131.33,3351.2
31/10/2023,TOULON,83200,Ouest Toulon,58,BD,BOURCIER,58 BD BOURCIER,Maison,4.0,75.0,330750.0,4410.0
18/10/2023,TOULON,83000,Centre / Littoral,156,RUE,LULLI,156 RUE LULLI,Appartement,2.0,47.0,112000.0,2382.98
